ConvId,utterance0,utterance1,utterance2,utterance3,utterance4,utterance5,utterance6,utterance7,utterance8,utterance9,utterance10,utterance11,utterance12,utterance13,utterance14,utterance15,utterance16,utterance17,utterance18,utterance19,utterance20,utterance21,understanding,task-completion,interest-arousal,efficiency,dialogue-overall,justification-text
KU,USER	Hello,SYSTEM	Hi what kind of movies do you like,USER	Any good movies you can recommend from the horror genre?,"SYSTEM	Oh yes have you seen ""Jigsaw (2017)""","USER	I have not, but I will check it out. Good recommendation. I love old movies like ""Jaws  (1975)""","SYSTEM	old movies are awesome a weird horror flick is  ""May  (2002)""",USER	I've seen that one. It's great,"SYSTEM	oh wow not many people have I also love ""Cujo  (1983)"" I have a huge Stephen King fan","USER	Cujo is a classic, but it really made me afraid of dogs, couldn't look at St Bernard's the same after that one",SYSTEM	lol I showed it to my aunt when she got a new neighbor with 2 st bernards,USER	Poor aunt,"SYSTEM	going along with Stephen King ""Carrie  (1976)"" is great too",USER	Classic. I love Nancy Allen in that one,"SYSTEM	and there is a new Stephen King one that is awesome ""Gerald's Game (2017)"" but that is more of a psychlogical thriller",USER	I haven't heard of that I will check it out. See ya later.,,,,,,,,3.0,3.0,2.0,1.0,5.0,The system understood what the user was wanting and made recommendations that the user liked or showed an interest in watching.
KU,USER	Hello,SYSTEM	Hi what kind of movies do you like,USER	Any good movies you can recommend from the horror genre?,"SYSTEM	Oh yes have you seen ""Jigsaw (2017)""","USER	I have not, but I will check it out. Good recommendation. I love old movies like ""Jaws  (1975)""","SYSTEM	old movies are awesome a weird horror flick is  ""May  (2002)""",USER	I've seen that one. It's great,"SYSTEM	oh wow not many people have I also love ""Cujo  (1983)"" I have a huge Stephen King fan","USER	Cujo is a classic, but it really made me afraid of dogs, couldn't look at St Bernard's the same after that one",SYSTEM	lol I showed it to my aunt when she got a new neighbor with 2 st bernards,USER	Poor aunt,"SYSTEM	going along with Stephen King ""Carrie  (1976)"" is great too",USER	Classic. I love Nancy Allen in that one,"SYSTEM	and there is a new Stephen King one that is awesome ""Gerald's Game (2017)"" but that is more of a psychlogical thriller",USER	I haven't heard of that I will check it out. See ya later.,,,,,,,,3.0,3.0,3.0,1.0,5.0,"User was very positive about all recommendations from the system, so I'd call this a great exchange of ideas."
UA,SYSTEM	how can i help you tonight,"USER	well my girls want to see a movie like ""The Goonies (1985)"" and I can't find one","SYSTEM	Have they seen ""Ghostbusters (1984)""","USER	Umm no, that's a good idea though","SYSTEM	""Ghostbusters (1984)"" is a good one they may likewhat about ""The Parent Trap  (1998)""i like the older version ""The Parent Trap  (1961)""",USER	Actually I think they will like that one better,SYSTEM	it is a good girl film,USER	Hayley Mills? Yeah.. they will like that,"SYSTEM	another good one is ""The Blue Lagoon  (1980)""they made a new version but, the older one is better",USER	Yikes.. not ready for that one,SYSTEM	I understand,USER	well I'll check out the parent trap.. thank you for your help and good night,"SYSTEM	""The Man with Two Brains (1983)""I haven't seen this one, but heard it was funnywell it was good talking to you. hope you have a good day bye",,,,,,,,,,3.0,3.0,3.0,1.0,4.0,"I think the system did a great job meeting needs, it only made one mistake that the user didn't like. It probably should have stopped suggesting before that because user was happy before the one they didn't like. But all in all did great job suggesting multiple movies user would like."
UA,SYSTEM	how can i help you tonight,"USER	well my girls want to see a movie like ""The Goonies (1985)"" and I can't find one","SYSTEM	Have they seen ""Ghostbusters (1984)""","USER	Umm no, that's a good idea though","SYSTEM	""Ghostbusters (1984)"" is a good one they may likewhat about ""The Parent Trap  (1998)""i like the older version ""The Parent Trap  (1961)""",USER	Actually I think they will like that one better,SYSTEM	it is a good girl film,USER	Hayley Mills? Yeah.. they will like that,"SYSTEM	another good one is ""The Blue Lagoon  (1980)""they made a new version but, the older one is better",USER	Yikes.. not ready for that one,SYSTEM	I understand,USER	well I'll check out the parent trap.. thank you for your help and good night,"SYSTEM	""The Man with Two Brains (1983)""I haven't seen this one, but heard it was funnywell it was good talking to you. hope you have a good day bye",,,,,,,,,,2.0,2.0,2.0,1.0,3.0,"The system worked excellently until the last turn, when it made a somewhat bizarre recommendation which the user turned down."
UA,SYSTEM	how can i help you tonight,"USER	well my girls want to see a movie like ""The Goonies (1985)"" and I can't find one","SYSTEM	Have they seen ""Ghostbusters (1984)""","USER	Umm no, that's a good idea though","SYSTEM	""Ghostbusters (1984)"" is a good one they may likewhat about ""The Parent Trap  (1998)""i like the older version ""The Parent Trap  (1961)""",USER	Actually I think they will like that one better,SYSTEM	it is a good girl film,USER	Hayley Mills? Yeah.. they will like that,"SYSTEM	another good one is ""The Blue Lagoon  (1980)""they made a new version but, the older one is better",USER	Yikes.. not ready for that one,SYSTEM	I understand,USER	well I'll check out the parent trap.. thank you for your help and good night,"SYSTEM	""The Man with Two Brains (1983)""I haven't seen this one, but heard it was funnywell it was good talking to you. hope you have a good day bye",,,,,,,,,,3.0,3.0,3.0,1.0,5.0,"The recommendation was taken by the user, but not every exchange had a recommendation with it."
UA,SYSTEM	how can i help you tonight,"USER	well my girls want to see a movie like ""The Goonies (1985)"" and I can't find one","SYSTEM	Have they seen ""Ghostbusters (1984)""","USER	Umm no, that's a good idea though","SYSTEM	""Ghostbusters (1984)"" is a good one they may likewhat about ""The Parent Trap  (1998)""i like the older version ""The Parent Trap  (1961)""",USER	Actually I think they will like that one better,SYSTEM	it is a good girl film,USER	Hayley Mills? Yeah.. they will like that,"SYSTEM	another good one is ""The Blue Lagoon  (1980)""they made a new version but, the older one is better",USER	Yikes.. not ready for that one,SYSTEM	I understand,USER	well I'll check out the parent trap.. thank you for your help and good night,"SYSTEM	""The Man with Two Brains (1983)""I haven't seen this one, but heard it was funnywell it was good talking to you. hope you have a good day bye",,,,,,,,,,2.0,3.0,1.0,1.0,4.0,"The first recommendation was great and the user liked it. However, they really didn't do great with the next recommendation considering the user said they wanted their kids to watch it."
DT,USER Hello.,SYSTEM	Hi. How are you?I heard you were thinking of watching a movie. What type of movies do you usually like?,USER	I'd love a romantic comedy.,"SYSTEM	Me too. A few of my favorites are ""How to Lose a Guy in 10 Days (2003)"", ""The Proposal  (2009)"" and ""10 Things I Hate About You(1999)""",USER	ok I saw one of those.,SYSTEM	They have fabulous casts.,USER	I know they do. I want heart break with my romance. Any like that?,"SYSTEM	Hmmm...like it ends sad? Well, ""Little Women  (1994)"" has a lot of emotional turbulence although it is not a romantic comedy",USER	or it's sad in the middle. Sorry.,"SYSTEM	""While You Were Sleeping  (1995)"" has some sad moments too","USER	I read ""Little Women  (1994)""","SYSTEM	Did you like it? If so, you might like the movie Oops, sorry. Hopefully this gives you some good ideas.",USER	I did.,"SYSTEM	Well, happy watching! Bye!",,,,,,,,,2.0,2.0,2.0,0.0,3.0,"The system tried and made some recommendations, but the user didn't seem particularly enthused by any of them."
DT,USER Hello.,SYSTEM	Hi. How are you?I heard you were thinking of watching a movie. What type of movies do you usually like?,USER	I'd love a romantic comedy.,"SYSTEM	Me too. A few of my favorites are ""How to Lose a Guy in 10 Days (2003)"", ""The Proposal  (2009)"" and ""10 Things I Hate About You(1999)""",USER	ok I saw one of those.,SYSTEM	They have fabulous casts.,USER	I know they do. I want heart break with my romance. Any like that?,"SYSTEM	Hmmm...like it ends sad? Well, ""Little Women  (1994)"" has a lot of emotional turbulence although it is not a romantic comedy",USER	or it's sad in the middle. Sorry.,"SYSTEM	""While You Were Sleeping  (1995)"" has some sad moments too","USER	I read ""Little Women  (1994)""","SYSTEM	Did you like it? If so, you might like the movie Oops, sorry. Hopefully this gives you some good ideas.",USER	I did.,"SYSTEM	Well, happy watching! Bye!",,,,,,,,,2.0,2.0,1.0,1.0,3.0,User did not state that they would watch any of the recommendations in this exchange.
DT,USER Hello.,SYSTEM	Hi. How are you?I heard you were thinking of watching a movie. What type of movies do you usually like?,USER	I'd love a romantic comedy.,"SYSTEM	Me too. A few of my favorites are ""How to Lose a Guy in 10 Days (2003)"", ""The Proposal  (2009)"" and ""10 Things I Hate About You(1999)""",USER	ok I saw one of those.,SYSTEM	They have fabulous casts.,USER	I know they do. I want heart break with my romance. Any like that?,"SYSTEM	Hmmm...like it ends sad? Well, ""Little Women  (1994)"" has a lot of emotional turbulence although it is not a romantic comedy",USER	or it's sad in the middle. Sorry.,"SYSTEM	""While You Were Sleeping  (1995)"" has some sad moments too","USER	I read ""Little Women  (1994)""","SYSTEM	Did you like it? If so, you might like the movie Oops, sorry. Hopefully this gives you some good ideas.",USER	I did.,"SYSTEM	Well, happy watching! Bye!",,,,,,,,,3.0,3.0,3.0,1.0,5.0,This one is simple. The system asked if the user liked it and the user said he did.
DT,USER Hello.,SYSTEM	Hi. How are you?I heard you were thinking of watching a movie. What type of movies do you usually like?,USER	I'd love a romantic comedy.,"SYSTEM	Me too. A few of my favorites are ""How to Lose a Guy in 10 Days (2003)"", ""The Proposal  (2009)"" and ""10 Things I Hate About You(1999)""",USER	ok I saw one of those.,SYSTEM	They have fabulous casts.,USER	I know they do. I want heart break with my romance. Any like that?,"SYSTEM	Hmmm...like it ends sad? Well, ""Little Women  (1994)"" has a lot of emotional turbulence although it is not a romantic comedy",USER	or it's sad in the middle. Sorry.,"SYSTEM	""While You Were Sleeping  (1995)"" has some sad moments too","USER	I read ""Little Women  (1994)""","SYSTEM	Did you like it? If so, you might like the movie Oops, sorry. Hopefully this gives you some good ideas.",USER	I did.,"SYSTEM	Well, happy watching! Bye!",,,,,,,,,3.0,2.0,2.0,1.0,3.0,"The system makes lots of relevant suggestions, but the user doesn't commit to watching any"
F4,SYSTEM	Are you looking for a specific genre movie? Or actor?,"USER	no, whats new?",SYSTEM	In theaters now or already released?,USER	already released recently,"SYSTEM	Have you watched the new ""Jumanji  (2017)?"" It features Jack Black, Dwayne ""The Rock"" Johnson, and Kevin Hart.Instead of a board game like the old movie, it's a video game.",USER	no i havent seen that! That sounds really cool Thanks any new crime movies?,"SYSTEM	""Father Figures (2017)"" is a new comedy",USER	or kids movies,"SYSTEM	""Get Out (2017)"" could be considered a crime movie, but also a thriller",USER	Getout was horrible,"SYSTEM	""Gnomeo & Juliet: Sherlock Gnomes (2018)"" is a new kids movie that looks great!I have to agree, although it got such rave reviews",USER	ok thanks for the suggestions I appreciate it.,,,,,,,,,,,2.0,2.0,1.0,0.0,3.0,The reason that it is OK was because the system did make a recommendation that the user found to be cool so perhaps it is something that they will watch. It also made two more recommendations that the user said nothing about.
F4,SYSTEM	Are you looking for a specific genre movie? Or actor?,"USER	no, whats new?",SYSTEM	In theaters now or already released?,USER	already released recently,"SYSTEM	Have you watched the new ""Jumanji  (2017)?"" It features Jack Black, Dwayne ""The Rock"" Johnson, and Kevin Hart.Instead of a board game like the old movie, it's a video game.",USER	no i havent seen that! That sounds really cool Thanks any new crime movies?,"SYSTEM	""Father Figures (2017)"" is a new comedy",USER	or kids movies,"SYSTEM	""Get Out (2017)"" could be considered a crime movie, but also a thriller",USER	Getout was horrible,"SYSTEM	""Gnomeo & Juliet: Sherlock Gnomes (2018)"" is a new kids movie that looks great!I have to agree, although it got such rave reviews",USER	ok thanks for the suggestions I appreciate it.,,,,,,,,,,,3.0,3.0,3.0,1.0,4.0,The conversation flowed well and the system gave recommendation that the user liked or showed interest in.
F4,SYSTEM	Are you looking for a specific genre movie? Or actor?,"USER	no, whats new?",SYSTEM	In theaters now or already released?,USER	already released recently,"SYSTEM	Have you watched the new ""Jumanji  (2017)?"" It features Jack Black, Dwayne ""The Rock"" Johnson, and Kevin Hart.Instead of a board game like the old movie, it's a video game.",USER	no i havent seen that! That sounds really cool Thanks any new crime movies?,"SYSTEM	""Father Figures (2017)"" is a new comedy",USER	or kids movies,"SYSTEM	""Get Out (2017)"" could be considered a crime movie, but also a thriller",USER	Getout was horrible,"SYSTEM	""Gnomeo & Juliet: Sherlock Gnomes (2018)"" is a new kids movie that looks great!I have to agree, although it got such rave reviews",USER	ok thanks for the suggestions I appreciate it.,,,,,,,,,,,3.0,3.0,3.0,1.0,5.0,The system is able to quickly recommend a movie that the user think is cool and is interested to watch.
F4,SYSTEM	Are you looking for a specific genre movie? Or actor?,"USER	no, whats new?",SYSTEM	In theaters now or already released?,USER	already released recently,"SYSTEM	Have you watched the new ""Jumanji  (2017)?"" It features Jack Black, Dwayne ""The Rock"" Johnson, and Kevin Hart.Instead of a board game like the old movie, it's a video game.",USER	no i havent seen that! That sounds really cool Thanks any new crime movies?,"SYSTEM	""Father Figures (2017)"" is a new comedy",USER	or kids movies,"SYSTEM	""Get Out (2017)"" could be considered a crime movie, but also a thriller",USER	Getout was horrible,"SYSTEM	""Gnomeo & Juliet: Sherlock Gnomes (2018)"" is a new kids movie that looks great!I have to agree, although it got such rave reviews",USER	ok thanks for the suggestions I appreciate it.,,,,,,,,,,,2.0,2.0,2.0,1.0,3.0,"System did not understand what the user was looking for, though it did recommend some movies that the user liked."
3G,USER	hi!,SYSTEM	Hi there. What types of movie genre do you like?,USER	i like really funny but also intelligent movies witty and clever,"SYSTEM	What about ""Toy Story (1995)"" ?","USER	no, that's for kids, right?","SYSTEM	How about ""Hitch  (2005)"" ?",USER	i've never heard of that. what is it about?,SYSTEM	Really? It is an amazing film played by Will Smith who works as a coach hooking people up.Funny and witty at the same time.,"USER	what do you mean by 'hooking people up' like, love connections?","SYSTEM	Exactly,romance",USER	i don't like romantic stuff that much... too mushy!,"SYSTEM	Movie starts off with Will Smith narrating and he teaches an overweight guy how to stand, talk, dance. Very funny.What else do you like?",USER	anything with a strong woman protagonist,SYSTEM	Oh,USER	have something good in mind?,"SYSTEM	How about ""The Proposal  (2009)"" ?",USER	what's that about?,SYSTEM	Oh my you don't watch a lot of movies do you miss?,USER	miss? did you miss something? are you assuming i'm a woman? a 'miss',"SYSTEM	sir?Sorry how about the ""Gravity  (2013)"" ?","USER	also, it's Ms. and has been since the 1970s. Gravity sounds like an action movie, is it?",SYSTEM I think so anyways bye!,1.0,1.0,1.0,0.0,1.0,"The system made two recommendations which the user had virtually no interest in, followed by something of a dig at the user."
3G,USER	hi!,SYSTEM	Hi there. What types of movie genre do you like?,USER	i like really funny but also intelligent movies witty and clever,"SYSTEM	What about ""Toy Story (1995)"" ?","USER	no, that's for kids, right?","SYSTEM	How about ""Hitch  (2005)"" ?",USER	i've never heard of that. what is it about?,SYSTEM	Really? It is an amazing film played by Will Smith who works as a coach hooking people up.Funny and witty at the same time.,"USER	what do you mean by 'hooking people up' like, love connections?","SYSTEM	Exactly,romance",USER	i don't like romantic stuff that much... too mushy!,"SYSTEM	Movie starts off with Will Smith narrating and he teaches an overweight guy how to stand, talk, dance. Very funny.What else do you like?",USER	anything with a strong woman protagonist,SYSTEM	Oh,USER	have something good in mind?,"SYSTEM	How about ""The Proposal  (2009)"" ?",USER	what's that about?,SYSTEM	Oh my you don't watch a lot of movies do you miss?,USER	miss? did you miss something? are you assuming i'm a woman? a 'miss',"SYSTEM	sir?Sorry how about the ""Gravity  (2013)"" ?","USER	also, it's Ms. and has been since the 1970s. Gravity sounds like an action movie, is it?",SYSTEM I think so anyways bye!,2.0,1.0,2.0,0.0,2.0,"The system did not adequately clarify what the user was really looking for and by the end, the SYSTEM was antagonizing and frustrating the user."
3G,USER	hi!,SYSTEM	Hi there. What types of movie genre do you like?,USER	i like really funny but also intelligent movies witty and clever,"SYSTEM	What about ""Toy Story (1995)"" ?","USER	no, that's for kids, right?","SYSTEM	How about ""Hitch  (2005)"" ?",USER	i've never heard of that. what is it about?,SYSTEM	Really? It is an amazing film played by Will Smith who works as a coach hooking people up.Funny and witty at the same time.,"USER	what do you mean by 'hooking people up' like, love connections?","SYSTEM	Exactly,romance",USER	i don't like romantic stuff that much... too mushy!,"SYSTEM	Movie starts off with Will Smith narrating and he teaches an overweight guy how to stand, talk, dance. Very funny.What else do you like?",USER	anything with a strong woman protagonist,SYSTEM	Oh,USER	have something good in mind?,"SYSTEM	How about ""The Proposal  (2009)"" ?",USER	what's that about?,SYSTEM	Oh my you don't watch a lot of movies do you miss?,USER	miss? did you miss something? are you assuming i'm a woman? a 'miss',"SYSTEM	sir?Sorry how about the ""Gravity  (2013)"" ?","USER	also, it's Ms. and has been since the 1970s. Gravity sounds like an action movie, is it?",SYSTEM I think so anyways bye!,2.0,1.0,1.0,0.0,2.0,The conversation became negative on the users end because of the way that the system responded to the feedback of the movie suggestions. The user never agreed to any of the recommendations.
