ConvId,utterance0,utterance1,utterance2,utterance3,relevance1,interestingness1,overall1,utterance4,utterance5,utterance6,utterance7,relevance2,interestingness2,overall2,utterance8,utterance9,utterance10,utterance11,relevance3,interestingness3,overall3
86,SYSTEM	Hi Any genre you love?,USER	I love horror Any recommendations?,"SYSTEM	Have you seen ""The Witch  (2015)"" ?","USER	I have, that one was great! I like ""Alien: Covenant (2017)""",4,2,4,"SYSTEM	That was good too.Have you seen ""The Blackcoat's Daughter (2015)"" ?",USER	No what is it about?,SYSTEM	It is hard to explain in short the devil. but really different.,"USER	awesome I will check it out, anything like ""Resident Evil: Apocalypse (2004)"" ?",4,3,4.0,SYSTEM	No not at all.Much more indie and phsycological.,USER	ok cool any other recommendations at this point?,"SYSTEM	Um ""High Tension (2003)"" tensionA french horror.",USER	Awesome I will check it out,4,3,4
10,"SYSTEM	helo, how can I help you?","USER	Hi, any good thrillers from over 2 years ago would be great.","SYSTEM	good thrillers did you like ""The Shining  (1980)"" ?","USER	One of my all time favorite. Just so creepy that it sticks with you. Really anything Kubrick does sticks with you Like ""2001: A Space Odyssey  (1968)""",4,3,5,"SYSTEM	I have also heard good things about ""Gravity  (2013)""","USER	I have seen bits and pieces, it's not bad. But ""Interstellar  (2014)"" was better in my opinion. Did you see that one?","SYSTEM	I did but did not love it Wat about ""The Martian  (2015)"" that was awesome",USER	I agree. Truly memorable film.,4,3,4.0,"SYSTEM	Have you seen any of the ""Cloverfield (2008)"" movies?","USER	Yes, both. Pretty good, but ""10 Cloverfield Lane (2016)"" is better than the first.",SYSTEM	I liked the Streaming only one that came out this year,USER	Great chatting with you tonight.,3,3,4
10,"SYSTEM	helo, how can I help you?","USER	Hi, any good thrillers from over 2 years ago would be great.","SYSTEM	good thrillers did you like ""The Shining  (1980)"" ?","USER	One of my all time favorite. Just so creepy that it sticks with you. Really anything Kubrick does sticks with you Like ""2001: A Space Odyssey  (1968)""",4,1,5,"SYSTEM	I have also heard good things about ""Gravity  (2013)""","USER	I have seen bits and pieces, it's not bad. But ""Interstellar  (2014)"" was better in my opinion. Did you see that one?","SYSTEM	I did but did not love it Wat about ""The Martian  (2015)"" that was awesome",USER	I agree. Truly memorable film.,4,3,5.0,"SYSTEM	Have you seen any of the ""Cloverfield (2008)"" movies?","USER	Yes, both. Pretty good, but ""10 Cloverfield Lane (2016)"" is better than the first.",SYSTEM	I liked the Streaming only one that came out this year,USER	Great chatting with you tonight.,1,2,3
10,"SYSTEM	helo, how can I help you?","USER	Hi, any good thrillers from over 2 years ago would be great.","SYSTEM	good thrillers did you like ""The Shining  (1980)"" ?","USER	One of my all time favorite. Just so creepy that it sticks with you. Really anything Kubrick does sticks with you Like ""2001: A Space Odyssey  (1968)""",4,1,5,"SYSTEM	I have also heard good things about ""Gravity  (2013)""","USER	I have seen bits and pieces, it's not bad. But ""Interstellar  (2014)"" was better in my opinion. Did you see that one?","SYSTEM	I did but did not love it Wat about ""The Martian  (2015)"" that was awesome",USER	I agree. Truly memorable film.,4,3,5.0,"SYSTEM	Have you seen any of the ""Cloverfield (2008)"" movies?","USER	Yes, both. Pretty good, but ""10 Cloverfield Lane (2016)"" is better than the first.",SYSTEM	I liked the Streaming only one that came out this year,USER	Great chatting with you tonight.,4,3,3
WN,"SYSTEM	Hello there, what genre do you prefer?","USER	I like comedies that are similar to ""Pineapple Express  (2008)""","SYSTEM	I saw ""Sausage Party""and ""The Nut Job 2 (2017)""did you see those?","USER	i had high hopes for ""Sausage Party"" but it ended up just being sort of weird for me!",2,1,2,SYSTEM	it truly was inappropriate!,"USER	i didnt see ""The Nut Job 2 (2017)"" either! yes there were some moments i was just like what just happened","SYSTEM	true true, what about ""Your Highness (2011)"" ?",USER	ive seen that and its definitely interesting!,4,1,5.0,"SYSTEM	""Knocked Up (2007)"" and ""Harold & Kumar"" ?","USER	""Knocked Up (2007)"" is so funny!!!! but i havent seen ""Harold & Kumar"" i keep being told its a good one though thanks for the suggestions!",SYSTEM	you're welcome! bye now,USER	goodbye,1,1,3
WN,"SYSTEM	Hello there, what genre do you prefer?","USER	I like comedies that are similar to ""Pineapple Express  (2008)""","SYSTEM	I saw ""Sausage Party""and ""The Nut Job 2 (2017)""did you see those?","USER	i had high hopes for ""Sausage Party"" but it ended up just being sort of weird for me!",2,3,2,SYSTEM	it truly was inappropriate!,"USER	i didnt see ""The Nut Job 2 (2017)"" either! yes there were some moments i was just like what just happened","SYSTEM	true true, what about ""Your Highness (2011)"" ?",USER	ive seen that and its definitely interesting!,4,3,5.0,"SYSTEM	""Knocked Up (2007)"" and ""Harold & Kumar"" ?","USER	""Knocked Up (2007)"" is so funny!!!! but i havent seen ""Harold & Kumar"" i keep being told its a good one though thanks for the suggestions!",SYSTEM	you're welcome! bye now,USER	goodbye,4,3,4
WN,"SYSTEM	Hello there, what genre do you prefer?","USER	I like comedies that are similar to ""Pineapple Express  (2008)""","SYSTEM	I saw ""Sausage Party""and ""The Nut Job 2 (2017)""did you see those?","USER	i had high hopes for ""Sausage Party"" but it ended up just being sort of weird for me!",2,2,2,SYSTEM	it truly was inappropriate!,"USER	i didnt see ""The Nut Job 2 (2017)"" either! yes there were some moments i was just like what just happened","SYSTEM	true true, what about ""Your Highness (2011)"" ?",USER	ive seen that and its definitely interesting!,4,2,4.0,"SYSTEM	""Knocked Up (2007)"" and ""Harold & Kumar"" ?","USER	""Knocked Up (2007)"" is so funny!!!! but i havent seen ""Harold & Kumar"" i keep being told its a good one though thanks for the suggestions!",SYSTEM	you're welcome! bye now,USER	goodbye,4,3,5
XG,SYSTEM	Hello.,"USER	hello I'd like to watch movies with strong female leads and not comedy, but proper drama","SYSTEM	I have a great movie for you to watch with a strong female lead.The movie is entitled ""Black Swan  (2010)"" with Natalie Portman, it's an amazing film.Or you could watch ""Kill Bill"" with Uma Thurman, it's a very good movie.","USER	oh I've seen it, it's a horror show! I've also seen both ""Kill Bill"" they are good love Uma",4,3,5,"SYSTEM	Oh, I know, I saw a really good movie directed by David Lynch called ""Mulholland Drive  (2001)"" it stars Naomi Watts","USER	oh I've also seen that, also a bit creepy, since it's lynch got anything else? perhaps more uplifting?","SYSTEM	An even better film would be ""The Silence of the Lambs  (1991)"" with Jodie Foster","USER	lol, true, but also creepy I was thinking more along the lines of ""Amelia  (2009)""",3,3,3.0,"SYSTEM	""Chinatown  (1974)"" with Faye Dunaway is a great film, you should watch that.",USER	I thought a guy is the lead? jack nicholson?,SYSTEM	Not in my opinion.She steals the spotlight!,"USER	lol, okay, cool, thanks I will check it out thank you, bye!",1,2,3
XG,SYSTEM	Hello.,"USER	hello I'd like to watch movies with strong female leads and not comedy, but proper drama","SYSTEM	I have a great movie for you to watch with a strong female lead.The movie is entitled ""Black Swan  (2010)"" with Natalie Portman, it's an amazing film.Or you could watch ""Kill Bill"" with Uma Thurman, it's a very good movie.","USER	oh I've seen it, it's a horror show! I've also seen both ""Kill Bill"" they are good love Uma",4,3,5,"SYSTEM	Oh, I know, I saw a really good movie directed by David Lynch called ""Mulholland Drive  (2001)"" it stars Naomi Watts","USER	oh I've also seen that, also a bit creepy, since it's lynch got anything else? perhaps more uplifting?","SYSTEM	An even better film would be ""The Silence of the Lambs  (1991)"" with Jodie Foster","USER	lol, true, but also creepy I was thinking more along the lines of ""Amelia  (2009)""",2,3,2.0,"SYSTEM	""Chinatown  (1974)"" with Faye Dunaway is a great film, you should watch that.",USER	I thought a guy is the lead? jack nicholson?,SYSTEM	Not in my opinion.She steals the spotlight!,"USER	lol, okay, cool, thanks I will check it out thank you, bye!",4,3,5
XG,SYSTEM	Hello.,"USER	hello I'd like to watch movies with strong female leads and not comedy, but proper drama","SYSTEM	I have a great movie for you to watch with a strong female lead.The movie is entitled ""Black Swan  (2010)"" with Natalie Portman, it's an amazing film.Or you could watch ""Kill Bill"" with Uma Thurman, it's a very good movie.","USER	oh I've seen it, it's a horror show! I've also seen both ""Kill Bill"" they are good love Uma",4,3,5,"SYSTEM	Oh, I know, I saw a really good movie directed by David Lynch called ""Mulholland Drive  (2001)"" it stars Naomi Watts","USER	oh I've also seen that, also a bit creepy, since it's lynch got anything else? perhaps more uplifting?","SYSTEM	An even better film would be ""The Silence of the Lambs  (1991)"" with Jodie Foster","USER	lol, true, but also creepy I was thinking more along the lines of ""Amelia  (2009)""",2,2,1.0,"SYSTEM	""Chinatown  (1974)"" with Faye Dunaway is a great film, you should watch that.",USER	I thought a guy is the lead? jack nicholson?,SYSTEM	Not in my opinion.She steals the spotlight!,"USER	lol, okay, cool, thanks I will check it out thank you, bye!",4,3,3
YM,SYSTEM	how can i help you tonight,"USER	well my girls want to see a movie like ""The Goonies (1985)"" and I can't find one","SYSTEM	Have they seen ""Ghostbusters (1984)""","USER	Umm no, that's a good idea though",4,3,4,"SYSTEM	""Ghostbusters (1984)"" is a good one they may likewhat about ""The Parent Trap  (1998)""i like the older version ""The Parent Trap  (1961)""",USER	Actually I think they will like that one better,SYSTEM	it is a good girl film,USER	Hayley Mills? Yeah.. they will like that,4,3,5.0,"SYSTEM	another good one is ""The Blue Lagoon  (1980)""they made a new version but, the older one is better",USER	Yikes.. not ready for that one,SYSTEM	I understand,USER	well I'll check out the parent trap.. thank you for your help and good night,3,2,3
YM,SYSTEM	how can i help you tonight,"USER	well my girls want to see a movie like ""The Goonies (1985)"" and I can't find one","SYSTEM	Have they seen ""Ghostbusters (1984)""","USER	Umm no, that's a good idea though",4,1,5,"SYSTEM	""Ghostbusters (1984)"" is a good one they may likewhat about ""The Parent Trap  (1998)""i like the older version ""The Parent Trap  (1961)""",USER	Actually I think they will like that one better,SYSTEM	it is a good girl film,USER	Hayley Mills? Yeah.. they will like that,1,2,4.0,"SYSTEM	another good one is ""The Blue Lagoon  (1980)""they made a new version but, the older one is better",USER	Yikes.. not ready for that one,SYSTEM	I understand,USER	well I'll check out the parent trap.. thank you for your help and good night,1,2,3
YM,SYSTEM	how can i help you tonight,"USER	well my girls want to see a movie like ""The Goonies (1985)"" and I can't find one","SYSTEM	Have they seen ""Ghostbusters (1984)""","USER	Umm no, that's a good idea though",4,3,5,"SYSTEM	""Ghostbusters (1984)"" is a good one they may likewhat about ""The Parent Trap  (1998)""i like the older version ""The Parent Trap  (1961)""",USER	Actually I think they will like that one better,SYSTEM	it is a good girl film,USER	Hayley Mills? Yeah.. they will like that,4,3,5.0,"SYSTEM	another good one is ""The Blue Lagoon  (1980)""they made a new version but, the older one is better",USER	Yikes.. not ready for that one,SYSTEM	I understand,USER	well I'll check out the parent trap.. thank you for your help and good night,1,1,1
F1,"SYSTEM	hi, how can I help you?",USER	good evening! I am looking for a movie suggestion that focus on history!,SYSTEM	great. what are some movies you like?,"USER	something like ""Dunkirk  (2017)"" saw it when it first came out and absolutely loved it",1,2,3,"SYSTEM	okay greatyou may like ""The Darkest Hour  (2011)""brb",USER	i have heard of it but never seen it!,"SYSTEM	sorryokayyes, it is also about dunkirk, but from a different perspectiveyou may also like ""Saving Private Ryan (1998)"" ate",USER	such a good film,4,3,5.0,"SYSTEM	or maybe ""The Monuments Men (2014)""yes, It is",USER	never heard of that one either!,SYSTEM	it has bill murray.they are destroying hitlers monuments,USER	oh wow sounds interesting,4,2,5
F1,"SYSTEM	hi, how can I help you?",USER	good evening! I am looking for a movie suggestion that focus on history!,SYSTEM	great. what are some movies you like?,"USER	something like ""Dunkirk  (2017)"" saw it when it first came out and absolutely loved it",1,2,3,"SYSTEM	okay greatyou may like ""The Darkest Hour  (2011)""brb",USER	i have heard of it but never seen it!,"SYSTEM	sorryokayyes, it is also about dunkirk, but from a different perspectiveyou may also like ""Saving Private Ryan (1998)"" ate",USER	such a good film,4,3,5.0,"SYSTEM	or maybe ""The Monuments Men (2014)""yes, It is",USER	never heard of that one either!,SYSTEM	it has bill murray.they are destroying hitlers monuments,USER	oh wow sounds interesting,1,2,3
F1,"SYSTEM	hi, how can I help you?",USER	good evening! I am looking for a movie suggestion that focus on history!,SYSTEM	great. what are some movies you like?,"USER	something like ""Dunkirk  (2017)"" saw it when it first came out and absolutely loved it",4,3,4,"SYSTEM	okay greatyou may like ""The Darkest Hour  (2011)""brb",USER	i have heard of it but never seen it!,"SYSTEM	sorryokayyes, it is also about dunkirk, but from a different perspectiveyou may also like ""Saving Private Ryan (1998)"" ate",USER	such a good film,4,3,5.0,"SYSTEM	or maybe ""The Monuments Men (2014)""yes, It is",USER	never heard of that one either!,SYSTEM	it has bill murray.they are destroying hitlers monuments,USER	oh wow sounds interesting,4,3,5
6C,SYSTEM	Hi. How are you today?,USER	Hi there.,SYSTEM	What kind of movies do you like?,USER	I like horror and suspense,1,2,3,"SYSTEM	Nice! I love horror movies too. Have you watched ""A Quiet Place (2018)"" ? One of the best movies i've ever seen!It's so different from all the other movies","USER	No, I haven't heard of it, but I'm willing to try it out.","SYSTEM	It just came out. It's really good. I wouldn't say it's super scary but it's very interestingAlso, have you watched ""Happy Death Day  (2017)"" ?","USER	Nope! Willing to, but never heard of it either.",4,3,4.0,"SYSTEM	Again, it isn't that scary but it's good. It depends on what kind of horror movies you like. Do you like movies with a lot of blood like ""Jigsaw (2017)"" or ghost movies like ""Paranormal Activity (2007)""","USER	Oh my Jigsaw scares me, but I will definitely watch Paranormal activity, meh. Didn't care for it. Seemed too staged.","SYSTEM	I recently watched ""Insidious: Chapter 4 (2018)"" . It's very scary! It's about the lady who can feel or see ghosts","USER	Oh man, I can't! Super scary But hey, I think I'm good now. I appreciate your suggestions! Thank you, and have a beautiful day.",2,3,2
6C,SYSTEM	Hi. How are you today?,USER	Hi there.,SYSTEM	What kind of movies do you like?,USER	I like horror and suspense,1,2,3,"SYSTEM	Nice! I love horror movies too. Have you watched ""A Quiet Place (2018)"" ? One of the best movies i've ever seen!It's so different from all the other movies","USER	No, I haven't heard of it, but I'm willing to try it out.","SYSTEM	It just came out. It's really good. I wouldn't say it's super scary but it's very interestingAlso, have you watched ""Happy Death Day  (2017)"" ?","USER	Nope! Willing to, but never heard of it either.",4,3,5.0,"SYSTEM	Again, it isn't that scary but it's good. It depends on what kind of horror movies you like. Do you like movies with a lot of blood like ""Jigsaw (2017)"" or ghost movies like ""Paranormal Activity (2007)""","USER	Oh my Jigsaw scares me, but I will definitely watch Paranormal activity, meh. Didn't care for it. Seemed too staged.","SYSTEM	I recently watched ""Insidious: Chapter 4 (2018)"" . It's very scary! It's about the lady who can feel or see ghosts","USER	Oh man, I can't! Super scary But hey, I think I'm good now. I appreciate your suggestions! Thank you, and have a beautiful day.",2,3,4
6C,SYSTEM	Hi. How are you today?,USER	Hi there.,SYSTEM	What kind of movies do you like?,USER	I like horror and suspense,4,3,5,"SYSTEM	Nice! I love horror movies too. Have you watched ""A Quiet Place (2018)"" ? One of the best movies i've ever seen!It's so different from all the other movies","USER	No, I haven't heard of it, but I'm willing to try it out.","SYSTEM	It just came out. It's really good. I wouldn't say it's super scary but it's very interestingAlso, have you watched ""Happy Death Day  (2017)"" ?","USER	Nope! Willing to, but never heard of it either.",4,2,4.0,"SYSTEM	Again, it isn't that scary but it's good. It depends on what kind of horror movies you like. Do you like movies with a lot of blood like ""Jigsaw (2017)"" or ghost movies like ""Paranormal Activity (2007)""","USER	Oh my Jigsaw scares me, but I will definitely watch Paranormal activity, meh. Didn't care for it. Seemed too staged.","SYSTEM	I recently watched ""Insidious: Chapter 4 (2018)"" . It's very scary! It's about the lady who can feel or see ghosts","USER	Oh man, I can't! Super scary But hey, I think I'm good now. I appreciate your suggestions! Thank you, and have a beautiful day.",2,2,2
JB,SYSTEM	Hello.,USER	Hi! I am looking for a fun action movie to watch.,"SYSTEM	Do you have anything in mind you would like some suggestions for?Good category. Just a second.I'm going to assume you've watched the ""The Avengers  (2012)"" movies so I'll go to something different. Have you seen ""Justice League: Gods and Monsters (2015)"" ?","USER	I have not seen Justice League, but I have no interest in that. I liked Avengers. Just not into DC movies.",4,3,5,"SYSTEM	Have you seen ""Con Air (1997)"" or ""Skyfall (2012)"" ?I see. I'm the same way actually. I just don't like the DC universe.","USER	Not Con Air, but sounds interesting. I liked Skyfall. Best Bond movie.","SYSTEM	Do you have any interest in movies like ""Kingsman: The Secret Service (2014)"" ?","USER	I loved Kingsman, but have not seen the sequel, ""Kingsman: The Golden Circle,"" yet. Want to see it though!",4,3,5.0,"SYSTEM	I thought it was a great movie even though I'm not normally interest in those sorts of story lines. This movie is a little older but I thought ""The Girl with the Dragon Tattoo  (2009)"" the original was good.",USER	You liked the Swedish or American version better? I haven't seen either but I'm interested!,SYSTEM	American. I've never seen the Swedish version. Maybe I should watch it.Cool. I hope you like some of those.,"USER	Definitely, thank you for your help!",4,3,5
JB,SYSTEM	Hello.,USER	Hi! I am looking for a fun action movie to watch.,"SYSTEM	Do you have anything in mind you would like some suggestions for?Good category. Just a second.I'm going to assume you've watched the ""The Avengers  (2012)"" movies so I'll go to something different. Have you seen ""Justice League: Gods and Monsters (2015)"" ?","USER	I have not seen Justice League, but I have no interest in that. I liked Avengers. Just not into DC movies.",2,3,2,"SYSTEM	Have you seen ""Con Air (1997)"" or ""Skyfall (2012)"" ?I see. I'm the same way actually. I just don't like the DC universe.","USER	Not Con Air, but sounds interesting. I liked Skyfall. Best Bond movie.","SYSTEM	Do you have any interest in movies like ""Kingsman: The Secret Service (2014)"" ?","USER	I loved Kingsman, but have not seen the sequel, ""Kingsman: The Golden Circle,"" yet. Want to see it though!",4,1,5.0,"SYSTEM	I thought it was a great movie even though I'm not normally interest in those sorts of story lines. This movie is a little older but I thought ""The Girl with the Dragon Tattoo  (2009)"" the original was good.",USER	You liked the Swedish or American version better? I haven't seen either but I'm interested!,SYSTEM	American. I've never seen the Swedish version. Maybe I should watch it.Cool. I hope you like some of those.,"USER	Definitely, thank you for your help!",1,2,3
